issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-06-10,728.0,,GY,6601 OLYMPIC BLVD W,51.0,80.70,NO STOPPING/ANTI-GRIDLOCK ZONE,163.0,6448752.481301,1844138.134685,,2019.0
2019-05-10,1243.0,1010.0,WT,1165 GRANT AVE,51.0,80.69C,PARKED OVER TIME LIMIT,58.0,6425439.597194,1819462.118221,,2019.0
2019-08-02,1231.0,,BK,15536 VALERIO ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419146.196319,1897252.235009,,2019.0
2019-02-22,1621.0,,BL,6215 SUNSET BLVD,54.0,80.70,NO STOPPING/ANTI-GRIDLOCK ZONE,163.0,6463510.628158,1858207.784662,,2019.0
2019-04-23,1209.0,,BK,14358 MAGNOLIA BLVD,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6426788.535961,1882676.119956,,2019.0
2019-02-01,216.0,,WT,230 GRAMERCY PL S,54.0,80.58L,PREFERENTIAL PARKING,68.0,6466925.2487550005,1848174.118738,,2019.0
2019-02-27,1258.0,1047.0,BK,2109 GRANVILLE AVE,51.0,80.69C,PARKED OVER TIME LIMIT,58.0,6425072.234787,1835198.293129,,2019.0
2019-03-05,1008.0,,BK,8929 CADILLAC AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6444870.212435,1837355.857578,,2019.0
2019-03-11,1015.0,,BK,25 DRIFTWOOD ST,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420809.324987,1814416.659305,,2019.0
2019-07-05,537.0,,WT,778 CENTRAL AVE S,56.0,80.49+,18 IN/CURB/COMM VEH,63.0,6488080.459191999,1834942.575678,,2019.0
2019-08-27,1806.0,,RD,507 AVONDALE AVE,51.0,5204A-,DISPLAY OF TABS,25.0,6413368.812748,1840430.359664,,2019.0
2019-04-07,932.0,,WT,10034 WESTERN AVE S,55.0,80.53,PARKED IN PARKWAY,63.0,6467944.864383999,1802582.35009,,2019.0
2019-05-12,1237.0,,GY,5611 LEMON GROVE AVE,54.0,22500F,PARKED ON SIDEWALK,68.0,6466661.495988,1854238.82197,,2019.0
2019-05-17,1017.0,,BL,1643 KINGSLEY DR N,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6469859.549038,1859173.670183,,2019.0
2019-08-19,333.0,,GY,6533 HOLLYWOOD BLVD,54.0,80.56E4+,RED ZONE,93.0,6461014.306493,1859517.373495,,2019.0
2019-06-20,959.0,,TN,9153 JORDAN AVE,53.0,80.73.2,EXCEED 72HRS-ST,68.0,99999.0,99999.0,,2019.0
2019-11-13,1621.0,,BK,201 2ND ST E,56.0,88.13B+,METER EXP.,63.0,6487269.212152,1841288.789657,56 - DOT - CENTRAL,2019.0
2019-06-20,1246.0,,BL,1217 AMHERST AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419865.860663,1838441.894596,,2019.0
2019-07-24,1325.0,1117.0,SL,38 18TH AVE,51.0,80.69C,PARKED OVER TIME LIMIT,58.0,6418551.244188,1817698.484791,,2019.0
2019-04-09,836.0,,BL,5600 ZELZAH AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6403764.27556,1885464.865368,,2019.0
2019-01-15,1621.0,,GY,1111 6TH ST W,56.0,80.69AP+,NO STOP/STANDING,93.0,6482218.958389,1842183.224449,,2019.0
2019-06-24,1214.0,,BK,819 FOSTER DR,51.0,80.58L,PREFERENTIAL PARKING,68.0,6450123.374029,1844909.656688,,2019.0
2019-08-26,1101.0,,GY,13038 SAN VICENTE BLVD,51.0,80.56E2,YELLOW ZONE,58.0,6413008.270535,1840389.76274,,2019.0
2019-06-12,938.0,,BL,6644 BEEMAN AVE,53.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0,,2019.0
2019-06-24,1345.0,1103.0,WT,4428 GLORIA AVE,53.0,80.69C,PARKED OVER TIME LIMIT,58.0,6416564.37665,1877897.184169,,2019.0
