issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-07-18,805.0,,GY,101 GRANVILLE AVE,51.0,5200,DISPLAY OF PLATES,25.0,6418799.538707,1845918.353389,,2019.0
2019-03-03,1205.0,,BK,1056 SANBORN AVE N,54.0,80.58L,PREFERENTIAL PARKING,68.0,6476594.44194,1855798.548887,,2019.0
2019-10-26,1243.0,,GY,11900 SAN VICENTE BL,51.0,80.56E1,WHITE ZONE,58.0,6418423.925086,1841658.939811,51 - DOT - WESTERN,2019.0
2019-01-26,1102.0,,WT,2200 WESTWOOD BL,51.0,88.13B+,METER EXP.,63.0,6430876.50843,1838631.834628,,2019.0
2019-02-28,1209.0,,SL,6925 WHITSETT AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6439123.354263,1894105.451118,,2019.0
2019-04-22,1235.0,,WT,513 AVONDALE AVE,51.0,80.73.2,EXCEED 72HRS-ST,68.0,6413378.792026,1840388.667788,,2019.0
2019-08-01,1146.0,,GN,1015 SAN JULIAN ST S,56.0,80.49+,18 IN/CURB/COMM VEH,63.0,6485209.693167,1835856.397481,,2019.0
2019-06-27,1203.0,,BK,3235 SHERBOURNE DR,51.0,80.58L,PREFERENTIAL PARKING,68.0,6445727.747763,1833962.075422,,2019.0
2019-06-12,1424.0,,WT,3400 SEPULVEDA BLVD,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6433257.05251,1830368.292314,,2019.0
2019-02-21,124.0,,WT,690 ALFRED ST N,54.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0,,2019.0
2019-06-05,1117.0,,BK,8101 3RD ST W,54.0,88.13B+,METER EXP.,63.0,6450880.993848001,1848829.271832,,2019.0
2019-03-11,1229.0,,SL,5563 EDGEWOOD PL,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0,,2019.0
2019-05-03,856.0,,BN,S/O 1440 25TH ST E,55.0,80.61,STANDNG IN ALLEY,68.0,99999.0,99999.0,,2019.0
2019-05-24,930.0,,BK,11952 DARLINGTON AVE,51.0,5204A-,DISPLAY OF TABS,25.0,6419860.545519,1840689.223974,,2019.0
2019-03-21,2147.0,,SL,1418 35TH ST W,55.0,22500E,BLOCKING DRIVEWAY,68.0,6470520.405787,1831473.39166,,2019.0
2019-03-21,2030.0,,WT,100 FULLER AVE N,54.0,80.56E4+,RED ZONE,93.0,6455735.80649,1849337.492427,,2019.0
2019-05-06,1155.0,,GO,4343 AGNES AVE,53.0,80.73.2,EXCEED 72HRS-ST,68.0,99999.0,99999.0,,2019.0
2019-01-27,251.0,,GY,216 APX 4TH ST E,56.0,80.69AA+,NO STOP/STAND,93.0,99999.0,99999.0,,2019.0
2019-01-10,2154.0,,BK,9019 S AIRPORT BLVD,2.0,4000A1,NO EVIDENCE OF REG,50.0,6444686.740482,1806252.381871,,2019.0
2019-04-16,1227.0,,WT,7200 MANCHESTER AVE,51.0,80.69AA+,NO STOP/STAND,93.0,6434685.948568,1807993.716611,,2019.0
2019-07-24,827.0,,GY,4616 GREENWOOD PL,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6473733.184248,1861976.399712,,2019.0
2019-05-16,424.0,,GY,223 AVENUE 18 S,56.0,5204A-,DISPLAY OF TABS,25.0,6494390.702996,1848368.836533,,2019.0
2019-08-08,1105.0,,WT,6711 YUCCA ST,54.0,80.56E4+,RED ZONE,93.0,6459809.416056,1860104.020302,,2019.0
2019-10-02,408.0,,BK,215 AVENUE 50 N,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6500788.486975,1860101.897739,56 - DOT - CENTRAL,2019.0
2019-04-15,1235.0,,GY,760 MCCARTHY VIS,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6450691.868988,1845197.496515,,2019.0
2019-08-15,824.0,,BL,755 WALL ST S,56.0,88.13B+,METER EXP.,63.0,6486066.44707,1837372.805962,,2019.0
2019-05-15,1622.0,,WT,5910 FIGUEROA ST N,56.0,80.61,STANDNG IN ALLEY,68.0,6503982.544747001,1862717.485162,,2019.0
2019-07-02,916.0,,GY,1523 CENTRE ST S,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6475440.531502,1724449.0371130002,,2019.0
2019-05-17,1415.0,,WT,701 WALL ST S,56.0,88.13B+,METER EXP.,63.0,6486375.313596,1837737.664897,,2019.0
2019-10-26,2005.0,,GY,321 DETROIT ST N,54.0,80.58L,PREFERENTIAL PARKING,68.0,6457148.694078,1847482.730508,54 - DOT - HOLLYWOOD,2019.0
2019-06-14,1126.0,,GY,1300 COCHRAN AV,51.0,5204A-,DISPLAY OF TABS,25.0,6455153.664065001,1841087.966304,,2019.0
2019-08-05,829.0,,BN,18618 COLLINS ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6398691.805085,1886325.542695,,2019.0
2019-06-20,2022.0,,TN,7151 80TH ST,51.0,80.73.2,EXCEED 72HRS-ST,68.0,99999.0,99999.0,,2019.0
2019-07-21,245.0,,SL,1620 AMHERST AVE,51.0,80.69B,NO PARKING,73.0,6421767.429646,1836473.140262,,2019.0
2019-07-07,149.0,,WT,1379 ORANGE DR S,51.0,80.58L,PREFERENTIAL PARKING,68.0,6456633.044875,1840210.172904,,2019.0
2019-04-16,838.0,,WT,601 SERRANO AV S,54.0,88.13B+,METER EXP.,63.0,6468733.347181,1852248.617014,,2019.0
2019-04-02,808.0,,BK,1135 SHENANDOAH ST,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6446121.275266999,1843216.337133,,2019.0
2019-06-12,940.0,,GN,1629 25TH ST W,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6466358.02485,1721830.581439,,2019.0
2019-03-20,1143.0,,WT,4400 VERMONT AVE,55.0,80.61,STANDNG IN ALLEY,68.0,6473303.901805,1823847.328963,,2019.0
2019-09-03,1057.0,,WT,530 6TH ST W,56.0,80.56E4+,RED ZONE,93.0,6484567.967801,1840040.280585,,2019.0
2019-01-08,1912.0,,GN,11406 EXPOSITION BLVD,51.0,80.58L,PREFERENTIAL PARKING,68.0,6428204.303626,1835042.302342,,2019.0
2019-08-29,1720.0,,BK,640 REDONDO BEACH BLVD,55.0,5204A-,DISPLAY OF TABS,25.0,6474865.448611,1783433.055335,,2019.0
2019-02-26,1207.0,,BK,2500 4TH ST,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477751.455043,1845846.894016,,2019.0
2019-07-31,1257.0,,GY,1297 STONE CANYON ROAD,51.0,80.69B,NO PARKING,73.0,6425466.602593,1858349.599858,,2019.0
2019-07-10,1931.0,,BK,601 SPRING ST N,56.0,88.13B+,METER EXP.,63.0,6485641.283683,1839201.358919,,2019.0
2019-07-05,1347.0,,GY,6001 SUNSET BL,54.0,88.13B+,METER EXP.,63.0,6464851.744819,1858213.586292,,2019.0
2019-04-19,1349.0,,SL,2000 CHARLOTTE ST,56.0,88.13B+,METER EXP.,63.0,6499088.601939,1843921.732536,,2019.0
2019-08-20,1026.0,,RD,1940 CARMEN AVE,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6463904.823899,1861149.090535,,2019.0
2019-07-09,830.0,,BK,707 61ST ST W,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0,,2019.0
2019-08-07,1114.0,900.0,RD,630 LOS ANGELES ST S,56.0,80.69C,PARKED OVER TIME LIMIT,58.0,6486104.032837001,1838556.18672,,2019.0
2019-01-25,1202.0,,GY,MAIN/SOTELLO,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0,,2019.0
2019-08-30,1809.0,,BK,5048 YORK BL,56.0,88.13B+,METER EXP.,63.0,6499365.904959,1866580.861638,,2019.0
2019-07-19,1054.0,,WT,18229 CANTARA ST,53.0,80.58L,PREFERENTIAL PARKING,68.0,6401314.362128,1902604.472925,,2019.0
2019-06-14,1805.0,,BK,317 HOLT AVE,54.0,80.58L,PREFERENTIAL PARKING,68.0,6447052.214805,1849299.136687,,2019.0
2019-04-01,1331.0,,GY,1611 BLUE JAY WAY,54.0,80.49+,18 IN/CURB/COMM VEH,63.0,99999.0,99999.0,,2019.0
2019-08-02,1035.0,,SL,254 HOBART BLVD S,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6469148.973764,1850070.255654,,2019.0
2019-04-08,1248.0,,BK,15314 DICKENS ST W,53.0,5200,DISPLAY OF PLATES,25.0,6420562.537873,1878267.099954,,2019.0
2019-03-28,1106.0,,BK,3426 MIDVALE AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6435232.030162,1831533.36297,,2019.0
2019-03-20,1330.0,,GY,61 WINDWARD AVE E,51.0,88.13B+,METER EXP.,63.0,6418361.518963,1818132.383345,,2019.0
2019-06-18,1021.0,,WT,15200 VOSE ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6421281.594740001,1894926.917054,,2019.0
2019-01-16,1846.0,,BL,2300 GRAND AVE S,55.0,80.56E4+,RED ZONE,93.0,6473417.070762,1721828.689315,,2019.0
2019-01-18,1003.0,,RD,611 SUNSET AVE,51.0,22500F,PARKED ON SIDEWALK,68.0,6419181.642532,1821908.383549,,2019.0
2019-02-15,2022.0,,GY,6372 SUNSET BLVD,54.0,80.69AP+,NO STOP/STANDING,93.0,6462295.23262,1858205.26329,,2019.0
2019-04-16,455.0,,GY,871 120TH ST E,55.0,80.56E4+,RED ZONE,93.0,6473271.95515,1794737.7650799998,,2019.0
2019-01-03,1030.0,,GY,1947 KELTON AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6429396.388356,1839555.775641,,2019.0
2019-04-04,2206.0,,WT,8600 INDEPENDENCE AVE,53.0,80.69AP+,NO STOP/STANDING,93.0,6383109.971469,1905511.651063,,2019.0
2019-06-02,1429.0,,WH,8886 VENICE BL,51.0,8813B,METER EXPIRED,63.0,6444187.476096,1833331.6625830005,,2019.0
2019-06-16,1000.0,,BR,1237 E 28 ST,1.0,002,4000A,50.0,99999.0,99999.0,,2019.0
2019-05-21,1011.0,,WT,3401 PACIFIC AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420876.78451,1814742.588979,,2019.0
2019-05-01,245.0,,BL,7921 CLINTON ST,54.0,22500E,BLOCKING DRIVEWAY,68.0,6452072.621659,1852284.492825,,2019.0
2019-07-17,1554.0,,BL,300 OMAR AVE,56.0,88.13B+,METER EXP.,63.0,6488643.083057,1839457.490696,,2019.0
2019-07-25,1643.0,,BK,901 BRINGHAM AV,51.0,88.13B+,METER EXP.,63.0,6421443.51054,1842736.653166,,2019.0
2019-03-14,1318.0,,OR,1717 STONER AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6423893.848230001,1837468.483825,,2019.0
2019-08-06,1226.0,,WT,1110 ORANGE GROVE AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6451441.582733001,1842740.303385,,2019.0
2019-01-08,1135.0,,WT,1432 GORDON ST,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6464754.287428,1857772.242693,,2019.0
2019-02-19,1718.0,,BK,4462 VESPER AVE,53.0,22500E,BLOCKING DRIVEWAY,68.0,6425245.205959,1878250.261471,,2019.0
2019-07-08,1012.0,,BL,1145 BEVERLY DR,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6441575.195141001,1843300.330989,,2019.0
2019-03-21,1323.0,1046.0,SL,6425 YUCCA ST,54.0,80.69C,PARKED OVER TIME LIMIT,58.0,6461761.0539150005,1860365.863734,,2019.0
2019-04-23,1209.0,,BK,422 LAKE ST S,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6480179.297615,1848363.587531,,2019.0
2019-07-29,1220.0,,WT,248 OCCIDENTAL BLVD S,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477467.685463,1849020.458939,,2019.0
2019-06-06,1426.0,,WT,1001 MONUMENT ST,51.0,88.13B+,METER EXP.,63.0,6402874.58887,1839858.212955,,2019.0
2019-02-05,1450.0,,TA,2255 E 114TH ST,1.0,80714,PRIVATE PROPERTY,68.0,6491091.005017,1797526.030475,,2019.0
2019-04-01,1255.0,,WT,219 6TH ST E,56.0,88.13B+,METER EXP.,63.0,6485581.325502,1839248.153232,,2019.0
2019-07-22,1018.0,,SL,1320 SEWARD ST,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6460789.678221,1857061.575207,,2019.0
2019-12-02,837.0,,GO,14000 MOORPARK ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6429221.027198,1877385.436346,53 - DOT - VALLEY,2019.0
2019-07-12,1148.0,,BK,3017 FUTURE ST,56.0,22514,FIRE HYDRANT,68.0,99999.0,99999.0,,2019.0
2019-06-03,550.0,,WT,2418 FEDERAL AVE,51.0,80.58L,PREFERENTIAL PARKING,68.0,6427271.231598,1834319.160314,,2019.0
2019-01-14,1025.0,,BK,101 LARCHMONT BL N,54.0,88.13B+,METER EXP.,63.0,6463689.998021,1849114.334051,,2019.0
2019-07-01,1019.0,,BK,672 SANTA FE AVE S,56.0,5200,DISPLAY OF PLATES,25.0,6491924.003294,1835396.602511,,2019.0
2019-07-23,1023.0,,OR,214 FICKETT ST N,56.0,5200,DISPLAY OF PLATES,25.0,6498535.103303,1837351.254343,,2019.0
2019-06-27,1241.0,,BK,3949 GIBRALTAR AVE,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6454165.355576,1828277.981759,,2019.0
2019-07-12,904.0,,BK,8400 MELROSE PL,54.0,88.13B+,METER EXP.,63.0,6448035.083188,1853020.130118,,2019.0
2019-01-14,1904.0,,BK,17000 VENTURA BL,53.0,88.13B+,METER EXP.,63.0,6409416.00623,1880906.291394,,2019.0
2019-02-23,1840.0,,WT,607 WESTERN AVE S,54.0,80.56E1,WHITE ZONE,58.0,6468051.433707,1845555.072107,,2019.0
2019-01-05,2342.0,,SL,1600 LAS PALMAS AV N,54.0,88.13B+,METER EXP.,63.0,6459910.674821,1858835.417405,,2019.0
2019-06-04,828.0,,WT,2486 FEDERAL AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0,,2019.0
2019-05-10,1504.0,,BK,23124 VANOWEN ST,53.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0,,2019.0
2019-06-25,1225.0,,GY,743 WILCOX AVE,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6461452.777715,1853206.994795,,2019.0
2019-06-27,903.0,,WT,650 HILL ST S,56.0,80.56E4+,RED ZONE,93.0,6484784.835665001,1839442.367695,,2019.0
2019-04-16,1342.0,,SL,9115 LA SALLE AVE S,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6468945.954714,1805883.328498,,2019.0
2019-04-15,1257.0,,BL,5000 YORK BL,56.0,88.13B+,METER EXP.,63.0,6499051.186704,1866654.052427,,2019.0
2019-08-27,1806.0,,SL,3900 RHODES AVE,53.0,80.58L,PREFERENTIAL PARKING,68.0,6439694.712855,1874157.678875,,2019.0
2019-03-15,815.0,,SL,13600 MOORPARK ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6431691.305833,1877375.870856,,2019.0
2019-02-16,2010.0,,BK,3061 STOCKER ST W,55.0,22502A,18 IN. CURB/2 WAY,63.0,6462576.97881049,1825400.50021272,,2019.0
2019-01-03,1918.0,,GY,2300 WESTGATE AVE S,51.0,80.58L,PREFERENTIAL PARKING,68.0,6425304.715231,1834026.442463,,2019.0
2019-04-16,1158.0,,SL,320 HILL ST S,56.0,80.56E2,YELLOW ZONE,58.0,6486131.020942,1841168.490714,,2019.0
2019-03-20,1338.0,,BK,10578 PICO BLVD,51.0,80.56E4+,RED ZONE,93.0,6433999.131005,1838584.956696,,2019.0
2019-05-13,1212.0,,RD,1400 WATSON AVE N,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6486250.069829,1746958.675949,,2019.0
2019-05-16,1352.0,,WT,20346 COHASSET ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6387498.889168,1898254.728876,,2019.0
2019-05-30,848.0,,SL,607 BENTON WAY N,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6478784.492835,1850165.865471,,2019.0
2019-06-21,400.0,,BK,8600 INTERNATIONAL AVE,53.0,80.56E4+,RED ZONE,93.0,6380466.436253,1905299.848845,,2019.0
2019-02-05,1929.0,,GY,1501 WESTWOOD BL,51.0,88.13B+,METER EXP.,63.0,6428183.299758,1842357.72028,,2019.0
2019-08-21,1020.0,,GY,13465 BEACH AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6426536.389689,1819239.548557,,2019.0
2019-02-19,1613.0,,SL,765 PICO BLVD E,56.0,88.13B+,METER EXP.,63.0,6480306.112551,1837351.783707,,2019.0
2019-03-05,1611.0,,GY,4650 SUNSET BLVD W,54.0,80.69B,NO PARKING,73.0,6473661.493181,1858230.0869,,2019.0
2019-04-07,2259.0,,WT,2603 GREENFIELD AVE,51.0,80.58L,PREFERENTIAL PARKING,68.0,6431439.099883,1835673.046875,,2019.0
2019-10-14,245.0,,BK,380 WORLD WAY,2.0,8939,WHITE CURB,58.0,6439920.11025,1802686.720124,LAX CURRENT,2019.0
2019-08-01,915.0,,WT,1002 BARRINGTON AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6421294.601316,1841540.009632,,2019.0
2019-05-05,1216.0,,BK,6100 ROCKCLIFF DR,54.0,80.58L,PREFERENTIAL PARKING,68.0,6464848.205562,1869524.39065,,2019.0
2019-08-16,548.0,,WT,1357 ARAPAHOE ST,55.0,22514,FIRE HYDRANT,68.0,99999.0,99999.0,,2019.0
2019-02-14,1522.0,,SL,959 GAYLEY AV,51.0,88.13B+,METER EXP.,63.0,6425926.227582,1845412.2100400005,,2019.0
2019-08-11,1427.0,,BK,1600 GOWER ST,54.0,88.13B+,METER EXP.,63.0,6464091.937773,1858865.029085,,2019.0
2019-03-18,932.0,,GY,120 LOMA DR,56.0,5200,DISPLAY OF PLATES,25.0,6481929.758164,1845451.192572,,2019.0
2019-02-28,312.0,,WT,8154 NATICK AVE,53.0,5200,DISPLAY OF PLATES,25.0,6424293.949143,1902361.252888,,2019.0
2019-07-02,1330.0,,BN,737 LOS ANGELES ST S,56.0,80.56E4+,RED ZONE,93.0,6485597.737271,1838036.654861,,2019.0
2019-01-28,342.0,,WT,3955 NORMANDIE AVE,55.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0,,2019.0
2019-07-16,1415.0,,WT,1115 HOPE ST S,56.0,22502A,18 IN. CURB/2 WAY,63.0,6481868.223747,1837724.018702,,2019.0
2019-04-10,830.0,,GY,1819 3RD AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6464698.168102,1837353.395999,,2019.0
2019-06-04,1238.0,,WT,13131 VENTURA BL W,53.0,88.13B+,METER EXP.,63.0,99999.0,99999.0,,2019.0
2019-06-05,1023.0,,SL,13100 MACLAY ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6435109.044761,1931662.721059,,2019.0
2019-03-20,1627.0,,BL,115 78TH ST W,55.0,22500H,DOUBLE PARKING,68.0,6478521.45375,1811172.054332,,2019.0
2019-01-09,844.0,,BK,2701 SEVERANCE ST,55.0,5204A-,DISPLAY OF TABS,25.0,6476360.040443,1833153.729302,,2019.0
2019-05-23,1301.0,,SL,1342 WELLESLEY AVE S,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420158.047068,1837629.268112,,2019.0
2019-01-29,728.0,,GY,1872 WESTWOOD BLVD,51.0,80.69AA+,NO STOP/STAND,93.0,6429662.975237001,1840337.929086,,2019.0
2019-03-19,1057.0,,BK,11700 BARRINGTON CT W,51.0,88.13B+,METER EXP.,63.0,99999.0,99999.0,,2019.0
2019-01-11,1220.0,,BK,3650 VERMONT AV S,55.0,88.13B+,METER EXP.,63.0,6473324.652103,1830458.636434,,2019.0
2019-08-11,650.0,,BL,3541 FIGUEROA ST N,56.0,5200,DISPLAY OF PLATES,25.0,6496706.420143,1854865.06382,,2019.0
2019-02-06,617.0,,SL,540 135TH ST,55.0,80.69AA+,NO STOP/STAND,93.0,6475620.47583602,1789451.30628911,,2019.0
2019-07-10,1216.0,,WT,3005 15TH ST,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6467966.692563,1839039.63259,,2019.0
2019-02-04,1445.0,,WT,626 59TH PL W,55.0,5204A-,DISPLAY OF TABS,25.0,6475372.332592,1817393.573242,,2019.0
2019-03-27,1030.0,,WT,11666 BROMONT AVE,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6439177.347255,1925096.722913,,2019.0
2019-03-14,518.0,,RD,3101 MARATHON ST,54.0,5204A-,DISPLAY OF TABS,25.0,6477999.441033,1851993.557497,,2019.0
2019-02-11,837.0,,BK,1910 W ROSS LOSS PL,56.0,8069BS,NO PARK/STREET CLEAN,73.0,6481456.835078,1848206.70953,,2019.0
2019-04-11,1024.0,,WT,362 15TH ST E,56.0,88.13B+,METER EXP.,63.0,6483118.645198001,1834398.011963,,2019.0
2019-05-03,1026.0,,SL,1320 KELLAM AVE,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6485004.216446,1847940.681587,,2019.0
2019-09-01,1916.0,,RD,2500 BLK REDONDO BLVD,55.0,80.69AP+,NO STOP/STANDING,93.0,99999.0,99999.0,,2019.0
2019-07-16,1348.0,,WT,672 SANTA FE AVE S,56.0,80.69B,NO PARKING,73.0,6491924.003294,1835396.602511,,2019.0
2019-07-24,925.0,,BN,5060 DOCKWEILER ST,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6457553.228246,1841460.826456,,2019.0
2019-01-05,2310.0,,GY,1500 CASSIL PL,54.0,80.58L,PREFERENTIAL PARKING,68.0,6460612.767964,1858207.497686,,2019.0
2019-05-28,358.0,,BL,12067 GUERIN ST,53.0,5204A-,DISPLAY OF TABS,25.0,6442466.470373,1875840.599524,,2019.0
2019-03-29,1028.0,,GY,1615 PARK AVE,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6483321.941635,1849725.397531,,2019.0
2019-05-10,1028.0,,GY,12026 RHODE ISLAND AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420917.064398,1838370.954447,,2019.0
2019-07-26,411.0,,GY,100 AVENUE 50 S,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6500467.96743,1860644.680114,,2019.0
2019-03-26,1236.0,,RD,545 SAN BENITO ST,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6497025.921712,1841001.507172,,2019.0
2019-01-25,146.0,,WT,6149 WALL ST S,55.0,22500F,PARKED ON SIDEWALK,68.0,6479275.286628,1816532.563131,,2019.0
2019-07-08,1223.0,,BL,1119 WESTERN AV N,54.0,88.13B+,METER EXP.,63.0,99999.0,99999.0,,2019.0
2019-07-29,2011.0,,WT,4451 CROCKER ST S,55.0,22500F,PARKED ON SIDEWALK,68.0,6480225.623157,1823471.0845,,2019.0
2019-04-01,1019.0,,RD,750 MARIPOSA AVE S,54.0,80.69B,NO PARKING,73.0,6471122.081708,1853366.346925,,2019.0
2019-02-12,635.0,,BK,8641 GULANA AVE,51.0,80.56E1,WHITE ZONE,58.0,6430122.837508,1807290.57733,,2019.0
2019-04-02,1533.0,,BG,3415 5TH AVE S,55.0,80.73.2,EXCEED 72HRS-ST,68.0,6463977.884775,1831780.297041,,2019.0
2019-03-06,1131.0,,WT,803 DETROIT ST N,54.0,80.56E4+,RED ZONE,93.0,6457157.112266,1853603.246771,,2019.0
2019-04-16,1347.0,,RD,2600 OAKWOOD AVE,51.0,22514,FIRE HYDRANT,68.0,6423902.83575,1819095.85485,,2019.0
2019-06-07,1026.0,,SL,4125 MCKINLEY AVE S,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6482479.137047,1825527.798598,,2019.0
2019-04-18,848.0,,BK,3503 LARGA AVE,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6483228.026421,1865096.944924,,2019.0
2019-03-20,1141.0,,WT,5047 LA RODA AVE,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6499706.708971,1872720.917541,,2019.0
2019-05-20,1839.0,,GY,661 HARPER AVE N,54.0,22502A,18 IN. CURB/2 WAY,63.0,6449915.970699,1852739.385526,,2019.0
2019-06-17,1132.0,,GY,11740 GILMORE ST,53.0,80.69B,NO PARKING,73.0,99999.0,99999.0,,2019.0
2019-05-08,1201.0,,TN,2900 COMPTON AVE,55.0,80.69B,NO PARKING,73.0,99999.0,99999.0,,2019.0
2019-02-08,104.0,,GY,560 LOS ANGELES ST S,56.0,5204A-,DISPLAY OF TABS,25.0,6486409.907992,1838906.343193,,2019.0
2019-05-01,1812.0,,BK,4265 COLBATH AVE,53.0,5200,DISPLAY OF PLATES,25.0,6429711.226962,1876495.406199,,2019.0
2019-03-04,1511.0,,BK,5300 CENTURY BL W,51.0,88.13B+,METER EXP.,63.0,6448821.160275,1802726.815071,,2019.0
2019-01-26,2304.0,,GY,159 KINGSLEY DR S,54.0,80.58L,PREFERENTIAL PARKING,68.0,6469926.739832,1849697.677938,,2019.0
2019-07-24,2013.0,,BK,3900 TROPICAL DR,53.0,80.69B,NO PARKING,73.0,6447434.118392,1873121.386013,,2019.0
2019-07-30,1309.0,,WT,15200 MOORPARK ST,53.0,88.13B+,METER EXP.,63.0,6421342.894251999,1878895.37872,,2019.0
2019-07-01,931.0,,WT,1640 PALOS VERDES ST S,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6476099.825788,1723985.705761,,2019.0
2019-04-05,1139.0,,BK,3380 ROBERTSON BLVD,51.0,5204A-,DISPLAY OF TABS,25.0,6442909.638114,1832970.014108,,2019.0
2019-02-20,909.0,,BK,3301 WILSHIRE BL,54.0,5204A-,DISPLAY OF TABS,25.0,6472581.6913870005,1844995.087713,,2019.0
2019-06-19,855.0,,PR,6500 REPTON ST,56.0,80.56E4+,RED ZONE,93.0,6507913.253917,1865525.330449,,2019.0
2019-01-07,1654.0,,WT,201 WESTERN AV S,54.0,88.13B+,METER EXP.,63.0,6468049.600891001,1849686.16255,,2019.0
2019-05-15,1044.0,,GY,12716 MITCHELL AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6429607.919757,1821874.43773,,2019.0
2019-03-21,942.0,,BK,711 4TH PL E,56.0,5200,DISPLAY OF PLATES,25.0,6489600.061407,1839014.19705,,2019.0
2019-09-11,1416.0,,BL,11200 CHANDLER BL,53.0,88.13B+,METER EXP.,63.0,6448413.793904,1883766.773246,,2019.0
2019-05-05,432.0,,GY,1530 W 227TH ST,55.0,024,22514,68.0,99999.0,99999.0,,2019.0
2019-01-08,1928.0,,WT,630 KILKEA DR N,54.0,80.58L,PREFERENTIAL PARKING,68.0,6450560.386030001,1852505.810127,,2019.0
2019-04-15,813.0,,BL,2035 N ARGYLE AVE,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6463217.729481,1861740.698188,,2019.0
2019-07-23,323.0,,SL,700 SAN PASCUAL AVE,56.0,80.56E4+,RED ZONE,93.0,6509268.768656,1865258.032286,,2019.0
2019-02-19,1222.0,,WT,7043 7TH AVE,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6463263.220036,1813802.410369,,2019.0
2019-01-15,1634.0,,WT,2250 111TH ST E,55.0,80.73.2,EXCEED 72HRS-ST,68.0,6491044.436763,1798680.895179,,2019.0
2019-05-01,1555.0,,WT,3237 GLENDALE BL,56.0,80.56E4+,RED ZONE,93.0,6482790.834074,1865579.796508,,2019.0
2019-05-14,1741.0,,BK,1000 SANTEE ST S,56.0,88.13B+,METER EXP.,63.0,6484423.326944,1836632.231768,,2019.0
2019-02-27,1404.0,935.0,SL,21455 SCHOENBORN ST,53.0,80.69C,PARKED OVER TIME LIMIT,58.0,99999.0,99999.0,,2019.0
