SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,LatLng
MD527,1700 WORKMAN ST,Single-Space,FLAT,$1.50,1HR,"(34.061306, -118.213957)"
CP213,7200 OWENSMOUTH AVE,Single-Space,FLAT,$1.50,2HR,"(34.20217, -118.601469)"
BF548,801 FAIRFAX AVE,Single-Space,FLAT,$1.50,2HR,"(34.08582, -118.361597)"
WB14,101 21ST ST,Single-Space,JUMP,$1/H - $4/6H,6HR,"(34.029352, -118.266795)"
BF278,700 FAIRFAX AVE,Single-Space,FLAT,$1.50,1HR,"(34.084367, -118.361267)"
SV523A,6001 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,"(34.09813, -118.321412)"
LM756,400 LA BREA AVE,Single-Space,FLAT,$1.50,2HR,"(34.078957, -118.343921)"
WA151,600 ALVARADO ST,Single-Space,FLAT,$1.50,1HR,"(34.058528, -118.275391)"
CP41,21601 SHERMAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.201135, -118.601066)"
WB375,300 23RD ST,Single-Space,JUMP,$1/H - $4/6H,6HR,"(34.029542, -118.271783)"
R91,7201 RESEDA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.202101, -118.536172)"
PR375,1101 BEVERLY DR,Single-Space,FLAT,$1.50,2HR,"(34.056715, -118.396538)"
ED498,701 CROCKER ST,Single-Space,JUMP,$1/H - $4/10H,10HR,"(34.038026, -118.248204)"
WH129,5401 ALHAMA DR,Single-Space,FLAT,$1.50,2HR,"(34.167943, -118.592566)"
CB670,401 OLYMPIC BLVD,Single-Space,TOD,$1.00 - $7.00,2HR,"(34.037922, -118.253394)"
LM115,6701 MELROSE AVE,Single-Space,FLAT,$1.50,2HR,"(34.083535, -118.340349)"
52211,1140 JEFFERSON BLVD,Multi-Space,FLAT,$1.50,4HR,"(34.0254, -118.290086)"
WA1476,1700 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.045081, -118.278099)"
CB1268,1100 GRAND AVE,Single-Space,FLAT,$1.00,4HR,"(34.040469, -118.262864)"
WW778,600 MARIPOSA AVE,Single-Space,FLAT,$1.50,1HR,"(34.062969, -118.299117)"
WU837,1501 OLYMPIC BLVD,Single-Space,FLAT,$1.50,2HR,"(34.048974, -118.273424)"
CB3212,200 8TH ST,Single-Space,TOD,$1.00 - $6.00,2HR,"(34.04329, -118.254076)"
HW244,5000 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,1HR,"(34.101678, -118.298908)"
WS801,1501 PONTIUS AVE,Single-Space,FLAT,$1.50,2HR,"(34.049228, -118.44654)"
SP520,300 7TH ST,Single-Space,FLAT,$1.50,2HR,"(33.737913, -118.284989)"
CP17,21501 SHERMAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.20114, -118.599523)"
LM540,200 VISTA ST,Single-Space,FLAT,$1.50,2HR,"(34.075837, -118.35215)"
CB722,801 MAPLE AVE,Single-Space,TOD,$2.00 - $5.00,2HR,"(34.039759, -118.252509)"
SV441,1300 VINE ST,Single-Space,FLAT,$1.00,2HR,"(34.096028, -118.326527)"
56105,10215 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.060283, -118.420356)"
VW721,3301 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061876, -118.295733)"
VN247,14501 VICTORY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.186773, -118.449697)"
BH106,2001 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.50,1HR,"(34.04881, -118.212053)"
SG130,7100 SUNSET BLVD,Single-Space,FLAT,$1.50,1HR,"(34.097881, -118.346429)"
VN150,6501 VAN NUYS BLVD,Single-Space,FLAT,$1.50,2HR,"(34.189496, -118.448868)"
ED94,701 8TH ST,Single-Space,TOD,$1.00 - $1.50,2HR,"(34.037506, -118.247837)"
CP92,21901 SHERMAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.201128, -118.605)"
CB1188,1200 OLIVE ST,Single-Space,TOD,$1.00 - $2.00,4HR,"(34.038772, -118.262715)"
WW32,3901 6TH ST,Single-Space,FLAT,$1.50,1HR,"(34.0636, -118.308813)"
SH68,6601 SANTA MONICA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.090811, -118.333964)"
UC80,3401 CAHUENGA BLVD,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.13245, -118.354517)"
LC283,8101 BEVERLY BLVD,Single-Space,FLAT,$1.50,2HR,"(34.076178, -118.36763)"
WU785,900 GRATTAN ST,Single-Space,FLAT,$1.50,2HR,"(34.049837, -118.272507)"
WW2494,301 NORMANDIE PL,Single-Space,FLAT,$1.50,2HR,"(34.076472, -118.301249)"
